post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,images
3523713167713111,"Celebrate the coziest season of all with the My Nintendo Animal Crossing: New Horizons Fall Sweepstakes! Redeem your points for a chance to win a package of themed prizes, including Animal Crossing: New Horizons themed accessories from PowerA, and a Nook Inc. Aloha shirt!

https://my.nintendo.com/rewards/5393dfe1900c5e64","Celebrate the coziest season of all with the My Nintendo Animal Crossing: New Horizons Fall Sweepstakes! Redeem your points for a chance to win a package of themed prizes, including Animal Crossing: New Horizons themed accessories from PowerA, and a Nook Inc. Aloha shirt!

https://my.nintendo.com/rewards/5393dfe1900c5e64",,2020-10-14 15:15:19,https://scontent-sea1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121714693_3523712117713216_2957433708867664924_o.jpg?_nc_cat=1&_nc_sid=8024bb&_nc_ohc=NTZTtvQ-GIIAX87dlEo&_nc_ht=scontent-sea1-1.xx&tp=14&oh=1140d28b50dbaf030e4188f9c29142c5&oe=5FAC165C,,,,262,45,0,https://facebook.com/story.php?story_fbid=3523713167713111&id=119240841493711,https://my.nintendo.com/rewards/5393dfe1900c5e64,119240841493711,['https://scontent-sea1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121714693_3523712117713216_2957433708867664924_o.jpg?_nc_cat=1&_nc_sid=8024bb&_nc_ohc=NTZTtvQ-GIIAX87dlEo&_nc_ht=scontent-sea1-1.xx&tp=14&oh=1140d28b50dbaf030e4188f9c29142c5&oe=5FAC165C']
3523575287726899,Kit & Krysta build a Nintendo-themed course and race in Mario Kart Live: Home Circuit in the latest episode of Nintendo Minute!,Kit & Krysta build a Nintendo-themed course and race in Mario Kart Live: Home Circuit in the latest episode of Nintendo Minute!,,2020-10-14 14:02:11,,https://video-sea1-1.xx.fbcdn.net/v/t42.9040-2/10000000_284433732851483_4623733092160656273_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=WCCGETSX4d4AX_7-oh5&_nc_oc=AQnkb8hnWomF7Fi7rZFZIAr06Vh23F8v-KyTKq2liPQdWhKk9oFe9bILGkFR5yKOfng&_nc_ht=video-sea1-1.xx&oh=968ab4626a92109dad46d8c0f8b00f2d&oe=5F87ABB9,,1008325966258417,191,21,0,https://facebook.com/watch?v=1008325966258417,,119240841493711,[]
